"taxon","taxonLabel"
"http://purl.obolibrary.org/obo/NCBITaxon_224315","Odontophorus leucolaemus"
"http://purl.obolibrary.org/obo/NCBITaxon_2894028","Odontophorus atrifrons"
"http://purl.obolibrary.org/obo/NCBITaxon_886793","Odontophorus capueira"
"http://purl.obolibrary.org/obo/NCBITaxon_2894034","Odontophorus dialeucos"
"http://purl.obolibrary.org/obo/NCBITaxon_9029","Oreortyx pictus"
"http://purl.obolibrary.org/obo/NCBITaxon_2878408","Oreortyx sp."
"http://purl.obolibrary.org/obo/NCBITaxon_67772","Callipepla douglasii"
"http://purl.obolibrary.org/obo/NCBITaxon_67771","Callipepla californica"
"http://purl.obolibrary.org/obo/NCBITaxon_67773","Callipepla gambelii"
"http://purl.obolibrary.org/obo/NCBITaxon_9009","Callipepla squamata"
"http://purl.obolibrary.org/obo/NCBITaxon_2878738","Callipepla sp."
"http://purl.obolibrary.org/obo/NCBITaxon_100830","Tetrao urogallus"
"http://purl.obolibrary.org/obo/NCBITaxon_109041","Tetrao urogalloides"
"http://purl.obolibrary.org/obo/NCBITaxon_109672","Tetrao parvirostris"
"http://purl.obolibrary.org/obo/NCBITaxon_109039","Lyrurus mlokosiewiczi"
"http://purl.obolibrary.org/obo/NCBITaxon_1233216","Lyrurus tetrix"
"http://purl.obolibrary.org/obo/NCBITaxon_109042","Tympanuchus pallidicinctus"
"http://purl.obolibrary.org/obo/NCBITaxon_9004","Tympanuchus cupido"
"http://purl.obolibrary.org/obo/NCBITaxon_83287","Tympanuchus phasianellus"
"http://purl.obolibrary.org/obo/NCBITaxon_109674","Falcipennis canadensis"
"http://purl.obolibrary.org/obo/NCBITaxon_109675","Falcipennis falcipennis"
"http://purl.obolibrary.org/obo/NCBITaxon_1155787","Tetrastes bonasia"
"http://purl.obolibrary.org/obo/NCBITaxon_1344035","Tetrastes sewerzowi"
"http://purl.obolibrary.org/obo/NCBITaxon_1236562","Lagopus lagopus x Lagopus muta"
"http://purl.obolibrary.org/obo/NCBITaxon_64668","Lagopus muta"
"http://purl.obolibrary.org/obo/NCBITaxon_2933282","Lagopus sp."
"http://purl.obolibrary.org/obo/NCBITaxon_30410","Lagopus leucura"
"http://purl.obolibrary.org/obo/NCBITaxon_52650","Lagopus lagopus"
"http://purl.obolibrary.org/obo/NCBITaxon_359986","Lagopus scotica"
"http://purl.obolibrary.org/obo/NCBITaxon_159313","Centrocercus urophasianus x Tympanuchus phasianellus"
"http://purl.obolibrary.org/obo/NCBITaxon_2766772","Lyrurus tetrix x Tetrao urogallus"
"http://purl.obolibrary.org/obo/NCBITaxon_211967","Centrocercus minimus"
"http://purl.obolibrary.org/obo/NCBITaxon_9002","Centrocercus urophasianus"
"http://purl.obolibrary.org/obo/NCBITaxon_90755","Dendragapus obscurus"
"http://purl.obolibrary.org/obo/NCBITaxon_420184","Dendragapus fuliginosus"
"http://purl.obolibrary.org/obo/NCBITaxon_9000","Bonasa umbellus"
"http://purl.obolibrary.org/obo/NCBITaxon_109044","Tetraogallus himalayensis"
"http://purl.obolibrary.org/obo/NCBITaxon_267426","Tetraogallus altaicus"
"http://purl.obolibrary.org/obo/NCBITaxon_267427","Tetraogallus tibetanus"
"http://purl.obolibrary.org/obo/NCBITaxon_466263","Tetraogallus caspius"
"http://purl.obolibrary.org/obo/NCBITaxon_114919","Perdix dauurica"
"http://purl.obolibrary.org/obo/NCBITaxon_573593","Perdix hodgsoniae"
"http://purl.obolibrary.org/obo/NCBITaxon_9052","Perdix perdix"
"http://purl.obolibrary.org/obo/NCBITaxon_116989","Coturnix pectoralis"
"http://purl.obolibrary.org/obo/NCBITaxon_116990","Coturnix australis"
"http://purl.obolibrary.org/obo/NCBITaxon_131085","Coturnix sp. ERO-1993"
"http://purl.obolibrary.org/obo/NCBITaxon_131086","Coturnix sp. IF-1995"
"http://purl.obolibrary.org/obo/NCBITaxon_131087","Coturnix sp. DFP-1995"
"http://purl.obolibrary.org/obo/NCBITaxon_131100","Coturnix sp. SP-1993"
