"aviLabel","taxon","aviId","avidb_link"
"Nothoprocta cinerascens","http://purl.obolibrary.org/obo/NCBITaxon_8807","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-4C8BCEC2","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-4C8BCEC2"
"Nothoprocta pentlandii","http://purl.obolibrary.org/obo/NCBITaxon_2585814","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-7A66539A","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-7A66539A"
"Nothoprocta curvirostris","http://purl.obolibrary.org/obo/NCBITaxon_2849792","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-F68CA24D","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-F68CA24D"
"Nothocercus julius","http://purl.obolibrary.org/obo/NCBITaxon_2585813","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-5FB99321","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-5FB99321"
"Nothocercus bonapartei","http://purl.obolibrary.org/obo/NCBITaxon_2792239","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-66C31E09","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-66C31E09"
"Nothocercus nigrocapillus","http://purl.obolibrary.org/obo/NCBITaxon_1977171","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-68E763AE","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-68E763AE"
"Tinamus tao","http://purl.obolibrary.org/obo/NCBITaxon_69492","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-346D16D5","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-346D16D5"
"Tinamus solitarius","http://purl.obolibrary.org/obo/NCBITaxon_2496573","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-67E5E0FA","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-67E5E0FA"
"Tinamus osgoodi","http://purl.obolibrary.org/obo/NCBITaxon_2710489","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-63C5F122","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-63C5F122"
"Tinamus major","http://purl.obolibrary.org/obo/NCBITaxon_30468","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-42D72AE1","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-42D72AE1"
"Tinamus guttatus","http://purl.obolibrary.org/obo/NCBITaxon_94827","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-0480B7C9","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-0480B7C9"
"Crypturellus cinereus","http://purl.obolibrary.org/obo/NCBITaxon_1118537","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-7C90F8DB","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-7C90F8DB"
"Crypturellus berlepschi","http://purl.obolibrary.org/obo/NCBITaxon_2792234","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-9B036853","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-9B036853"
"Crypturellus soui","http://purl.obolibrary.org/obo/NCBITaxon_458187","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-39DD9DD7","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-39DD9DD7"
"Crypturellus ptaritepui","http://purl.obolibrary.org/obo/NCBITaxon_2792235","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-F5F9A63F","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-F5F9A63F"
"Crypturellus obsoletus","http://purl.obolibrary.org/obo/NCBITaxon_858303","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-D624C373","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-D624C373"
"Crypturellus undulatus","http://purl.obolibrary.org/obo/NCBITaxon_48396","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-7A600A0F","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-7A600A0F"
"Crypturellus transfasciatus","http://purl.obolibrary.org/obo/NCBITaxon_2800463","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-D303E7FF","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-D303E7FF"
