"taxonLabel","uberonLabel","upp_label","uoo_label"
"Aves","telencephalic song nucleus HVC","part of","material entity"
"Aves","telencephalic song nucleus HVC","part of","anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","part of","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","part of","material anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","material anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","cellular organism"
"Aves","telencephalic song nucleus HVC","part of","cellular organism"
"Aves","telencephalic song nucleus HVC","part of","cellular organisms"
"Aves","telencephalic song nucleus HVC","part of","cellular organisms"
"Aves","telencephalic song nucleus HVC","part of","Eukaryota"
"Aves","telencephalic song nucleus HVC","part of","Eukaryota"
"Aves","telencephalic song nucleus HVC","part of","Metazoa"
"Aves","telencephalic song nucleus HVC","part of","Metazoa"
"Aves","telencephalic song nucleus HVC","part of","nervous system"
"Aves","telencephalic song nucleus HVC","part of","nervous system"
"Aves","telencephalic song nucleus HVC","part of","central nervous system"
"Aves","telencephalic song nucleus HVC","part of","central nervous system"
"Aves","telencephalic song nucleus HVC","part of","forebrain"
"Aves","telencephalic song nucleus HVC","part of","forebrain"
"Aves","telencephalic song nucleus HVC","part of","gray matter"
"Aves","telencephalic song nucleus HVC","part of","gray matter"
"Aves","telencephalic song nucleus HVC","part of","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","part of","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","part of","organism"
"Aves","telencephalic song nucleus HVC","part of","organism"
"Aves","telencephalic song nucleus HVC","part of","multicellular organism"
"Aves","telencephalic song nucleus HVC","part of","multicellular organism"
"Aves","telencephalic song nucleus HVC","part of","organism"
"Aves","telencephalic song nucleus HVC","part of","organism"
"Aves","telencephalic song nucleus HVC","part of","root"
"Aves","telencephalic song nucleus HVC","part of","root"
"Aves","telencephalic song nucleus HVC","part of","entity"
"Aves","telencephalic song nucleus HVC","part of","entity"
"Aves","telencephalic song nucleus HVC","part of","Opisthokonta"
"Aves","telencephalic song nucleus HVC","part of","Opisthokonta"
"Aves","telencephalic song nucleus HVC","part of","Eumetazoa"
"Aves","telencephalic song nucleus HVC","part of","Eumetazoa"
"Aves","telencephalic song nucleus HVC","part of","organ"
"Aves","telencephalic song nucleus HVC","part of","organ"
"Aves","telencephalic song nucleus HVC","part of","pallium"
"Aves","telencephalic song nucleus HVC","part of","pallium"
"Aves","telencephalic song nucleus HVC","part of","telencephalon"
"Aves","telencephalic song nucleus HVC","part of","telencephalon"
"Aves","telencephalic song nucleus HVC","part of","cellular organisms or viruses"
"Aves","telencephalic song nucleus HVC","part of","cellular organisms or viruses"
"Aves","telencephalic song nucleus HVC","part of","anatomical system"
"Aves","telencephalic song nucleus HVC","part of","anatomical system"
"Aves","telencephalic song nucleus HVC","part of","Unikonta"
"Aves","telencephalic song nucleus HVC","part of","Unikonta"
"Aves","telencephalic song nucleus HVC","part of","Archaea or Eukaryota"
"Aves","telencephalic song nucleus HVC","part of","Archaea or Eukaryota"
"Aves","telencephalic song nucleus HVC","part of","anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","anatomical entity"
"Aves","telencephalic song nucleus HVC","part of","anatomical system"
"Aves","telencephalic song nucleus HVC","part of","anatomical system"
"Aves","telencephalic song nucleus HVC","part of","nervous system"
"Aves","telencephalic song nucleus HVC","part of","nervous system"
"Aves","telencephalic song nucleus HVC","part of","organism or virus or viroid"
"Aves","telencephalic song nucleus HVC","part of","organism or virus or viroid"
"Aves","telencephalic song nucleus HVC","part of","organismal entity"
"Aves","telencephalic song nucleus HVC","part of","organismal entity"
"Aves","telencephalic song nucleus HVC","part of","multicellular anatomical structure"
"Aves","telencephalic song nucleus HVC","part of","multicellular anatomical structure"
"Aves","telencephalic song nucleus HVC","part of","multi-tissue structure"
"Aves","telencephalic song nucleus HVC","part of","multi-tissue structure"
"Aves","telencephalic song nucleus HVC","part of","multi cell part structure"
"Aves","telencephalic song nucleus HVC","part of","multi cell part structure"
"Aves","telencephalic song nucleus HVC","part of","organ system subdivision"
"Aves","telencephalic song nucleus HVC","part of","regional part of nervous system"
"Aves","telencephalic song nucleus HVC","part of","regional part of brain"
"Aves","telencephalic song nucleus HVC","part of","central nervous system cell part cluster"
"Aves","telencephalic song nucleus HVC","part of","brain gray matter"
"Aves","telencephalic song nucleus HVC","part of","nidopallium"
"Aves","telencephalic song nucleus HVC","part_of","independent continuant"
"Aves","telencephalic song nucleus HVC","has part","independent continuant"
"Aves","telencephalic song nucleus HVC","part_of","anatomical structure"
"Aves","telencephalic song nucleus HVC","has part","anatomical structure"
"Aves","telencephalic song nucleus HVC","part_of","brain"
"Aves","telencephalic song nucleus HVC","part_of","continuant"
"Aves","telencephalic song nucleus HVC","has part","continuant"
"Aves","telencephalic song nucleus HVC","part_of","material entity"
"Aves","telencephalic song nucleus HVC","has part","material entity"
"Aves","telencephalic song nucleus HVC","part_of","anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","anatomical entity"
"Aves","telencephalic song nucleus HVC","part_of","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","has part","connected anatomical structure"
"Aves","telencephalic song nucleus HVC","part_of","material anatomical entity"
"Aves","telencephalic song nucleus HVC","has part","material anatomical entity"
"Aves","telencephalic song nucleus HVC","part_of","cellular organism"
"Aves","telencephalic song nucleus HVC","part_of","cellular organisms"
"Aves","telencephalic song nucleus HVC","part_of","Eukaryota"
"Aves","telencephalic song nucleus HVC","part_of","Metazoa"
"Aves","telencephalic song nucleus HVC","part_of","nervous system"
"Aves","telencephalic song nucleus HVC","part_of","central nervous system"
"Aves","telencephalic song nucleus HVC","part_of","forebrain"
"Aves","telencephalic song nucleus HVC","part_of","gray matter"
"Aves","telencephalic song nucleus HVC","has part","gray matter"
"Aves","telencephalic song nucleus HVC","part_of","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","has part","ectoderm-derived structure"
"Aves","telencephalic song nucleus HVC","has part","electron"
"Aves","telencephalic song nucleus HVC","has part","proton"
"Aves","telencephalic song nucleus HVC","has part","atomic nucleus"
"Aves","telencephalic song nucleus HVC","has part","subatomic particle"
"Aves","telencephalic song nucleus HVC","has part","atom"
"Aves","telencephalic song nucleus HVC","has part","molecule"
"Aves","telencephalic song nucleus HVC","part_of","organism"
"Aves","telencephalic song nucleus HVC","has part","cellular_component"
"Aves","telencephalic song nucleus HVC","has part","cellular anatomical entity"
